id,category,subcategory,brand,name,details,search_term,target_file
30,Tuberías y Accesorios,Accesorios de Desagüe,Gerfor,"Yee","4 x 2","Yee 4 x 2 Gerfor Accesorios de Desag e","/images/products/tuberias-accesorios/30.jpg"
90,Mangueras y Riego,Mangueras,Varios,"Manguera Dúplex","⅝","Manguera D plex   Mangueras","/images/products/mangueras-riego/90.jpg"
91,Mangueras y Riego,Mangueras,Varios,"Manguera Dúplex","¾","Manguera D plex   Mangueras","/images/products/mangueras-riego/91.jpg"
92,Mangueras y Riego,Mangueras,Varios,"Manguera Dúplex","1","Manguera D plex 1 Mangueras","/images/products/mangueras-riego/92.jpg"
103,Mangueras y Riego,Accesorios de Riego Aspersor,Poelsan,"Enlace Recto R/H","25x¾ c/fierro","Enlace Recto R H 25x  c fierro Poelsan Accesorios de Riego Aspersor","/images/products/mangueras-riego/103.jpg"
104,Mangueras y Riego,Accesorios de Riego Aspersor,Poelsan,"Enlace Recto R/H","32x1","Enlace Recto R H 32x1 Poelsan Accesorios de Riego Aspersor","/images/products/mangueras-riego/104.jpg"
105,Mangueras y Riego,Accesorios de Riego Aspersor,Poelsan,"Enlace Recto","25 x 25","Enlace Recto 25 x 25 Poelsan Accesorios de Riego Aspersor","/images/products/mangueras-riego/105.jpg"
113,Pinturas y Accesorios,Pintura Látex,Latexcolor,"Pintura Látex Interiores & Exteriores","Celeste","Pintura L tex Interiores   Exteriores Celeste Latexcolor Pintura L tex","/images/products/pinturas-accesorios/113.jpg"
114,Pinturas y Accesorios,Pintura Látex,Latexcolor,"Pintura Látex Interiores & Exteriores","Ártico","Pintura L tex Interiores   Exteriores  rtico Latexcolor Pintura L tex","/images/products/pinturas-accesorios/114.jpg"
115,Pinturas y Accesorios,Pintura Látex,Latexcolor,"Pintura Látex Interiores & Exteriores","Azul Calipso","Pintura L tex Interiores   Exteriores Azul Calipso Latexcolor Pintura L tex","/images/products/pinturas-accesorios/115.jpg"
143,Pinturas y Accesorios,Pegamentos,Otey,"Pegamento Otey Dorado","1/64 sin Brocha","Pegamento Otey Dorado 1 64 sin Brocha Otey Pegamentos","/images/products/pinturas-accesorios/143.jpg"
144,Pinturas y Accesorios,Pegamentos,Otey,"Pegamento Otey Dorado","1/64 con Brocha","Pegamento Otey Dorado 1 64 con Brocha Otey Pegamentos","/images/products/pinturas-accesorios/144.jpg"
145,Pinturas y Accesorios,Pegamentos,Otey,"Pegamento Otey Azul","1/64 con Brocha","Pegamento Otey Azul 1 64 con Brocha Otey Pegamentos","/images/products/pinturas-accesorios/145.jpg"
298,Plásticos, Mallas y Arpilleras,Plásticos,Varios,"Plástico Simple Bolillito","Azul","Pl stico Simple Bolillito Azul Pl sticos","/images/products/plasticos-mallas/298.jpg"
299,Plásticos, Mallas y Arpilleras,Plásticos,Varios,"Plástico Simple","2m","Pl stico Simple 2m Pl sticos","/images/products/plasticos-mallas/299.jpg"
300,Plásticos, Mallas y Arpilleras,Plásticos,Varios,"Plástico Simple","Colores","Pl stico Simple Colores Pl sticos","/images/products/plasticos-mallas/300.jpg"
308,Plásticos, Mallas y Arpilleras,Arpilleras,Varios,"Arpillera Estándar","2 x 200 (Blanco, Azul, Negro)","Arpillera Est ndar 2 x 200  Blanco  Azul  Negro  Arpilleras","/images/products/plasticos-mallas/308.jpg"
309,Plásticos, Mallas y Arpilleras,Arpilleras,Varios,"Arpillera Estándar","3 x 200 (Blanco, Azul, Negro)","Arpillera Est ndar 3 x 200  Blanco  Azul  Negro  Arpilleras","/images/products/plasticos-mallas/309.jpg"
310,Plásticos, Mallas y Arpilleras,Arpilleras,Varios,"Arpillera Estándar","4 x 200 (Blanco, Azul, Negro)","Arpillera Est ndar 4 x 200  Blanco  Azul  Negro  Arpilleras","/images/products/plasticos-mallas/310.jpg"
325,Iluminación,Focos y Lámparas,Ferlux,"Foco LED","7 Watts","Foco LED 7 Watts Ferlux Focos y L mparas","/images/products/iluminacion/325.jpg"
326,Iluminación,Focos y Lámparas,Ferlux,"Foco LED","9 Watts","Foco LED 9 Watts Ferlux Focos y L mparas","/images/products/iluminacion/326.jpg"
327,Iluminación,Focos y Lámparas,Ferlux,"Foco LED","15 Watts","Foco LED 15 Watts Ferlux Focos y L mparas","/images/products/iluminacion/327.jpg"
328,Iluminación,Focos y Lámparas,Ferlux,"Foco LED","24 Watts","Foco LED 24 Watts Ferlux Focos y L mparas","/images/products/iluminacion/328.jpg"
329,Iluminación,Focos y Lámparas,Ashun,"Foco LED","3 Watts","Foco LED 3 Watts Ashun Focos y L mparas","/images/products/iluminacion/329.jpg"
330,Iluminación,Focos y Lámparas,Ashun,"Foco LED","5 Watts","Foco LED 5 Watts Ashun Focos y L mparas","/images/products/iluminacion/330.jpg"
331,Iluminación,Focos y Lámparas,Ashun,"Foco LED","7 Watts","Foco LED 7 Watts Ashun Focos y L mparas","/images/products/iluminacion/331.jpg"
356,Accesorios Eléctricos,Varios Eléctricos,Bticino (Alternativo),"Tomacorriente Simple Sapito","","Tomacorriente Simple Sapito Bticino  Alternativo  Varios El ctricos","/images/products/accesorios-electricos/356.jpg"
357,Accesorios Eléctricos,Varios Eléctricos,Bticino (Alternativo),"Interruptor Simple Sapito","","Interruptor Simple Sapito Bticino  Alternativo  Varios El ctricos","/images/products/accesorios-electricos/357.jpg"
358,Accesorios Eléctricos,Varios Eléctricos,Bticino (Alternativo),"Tomacorriente Doble","","Tomacorriente Doble Bticino  Alternativo  Varios El ctricos","/images/products/accesorios-electricos/358.jpg"
394,Grifería,Llaves y Caños,Schubert,"Llave Ganso","","Llave Ganso Schubert Llaves y Ca os","/images/products/griferia/394.jpg"
395,Grifería,Llaves y Caños,Schubert,"Tubo de Abasto o Chicote","½ x ½","Tubo de Abasto o Chicote   x   Schubert Llaves y Ca os","/images/products/griferia/395.jpg"
396,Grifería,Llaves y Caños,Schubert,"Llave para Ducha","","Llave para Ducha Schubert Llaves y Ca os","/images/products/griferia/396.jpg"
414,Ferretería Varios,Tapas, Cera, Anillos,Varios,"Tapa de Agua","","Tapa de Agua Tapas  Cera  Anillos","/images/products/ferreteria-varios/414.jpg"
415,Ferretería Varios,Tapas, Cera, Anillos,Varios,"Tapa de Desagüe","","Tapa de Desag e Tapas  Cera  Anillos","/images/products/ferreteria-varios/415.jpg"
416,Ferretería Varios,Tapas, Cera, Anillos,Varios,"Cera","x Galón","Cera x Gal n Tapas  Cera  Anillos","/images/products/ferreteria-varios/416.jpg"
422,Ferretería Varios,Herramientas y Consumibles,Varios,"Clavo para Calamina","con Empaque","Clavo para Calamina con Empaque Herramientas y Consumibles","/images/products/ferreteria-varios/422.jpg"
423,Ferretería Varios,Herramientas y Consumibles,Varios,"Driza","½","Driza   Herramientas y Consumibles","/images/products/ferreteria-varios/423.jpg"
424,Ferretería Varios,Herramientas y Consumibles,Varios,"Driza","⅞","Driza   Herramientas y Consumibles","/images/products/ferreteria-varios/424.jpg"
